File: unsat3Large1.cnf
Case:5999 : TRUE
Case:61 : TRUE
Case:62 : TRUE
Case:63 : TRUE
Case:64 : TRUE
Case:65 : TRUE
Case:66 : TRUE
Case:67 : TRUE
Case:68 : TRUE
Case:69 : TRUE
Case:70 : TRUE
Case:71 : TRUE
Case:72 : TRUE
Case:73 : TRUE
Case:74 : TRUE
Case:75 : TRUE
Case:76 : TRUE
Case:77 : TRUE
Case:78 : TRUE
Case:79 : TRUE
Case:80 : TRUE
Case:81 : TRUE
Case:82 : TRUE
Case:83 : TRUE
Case:84 : TRUE
Case:85 : TRUE
Case:86 : TRUE
Case:87 : TRUE
Case:88 : TRUE
Case:89 : TRUE
Case:90 : TRUE
Case:91 : TRUE
Case:92 : TRUE
Case:93 : TRUE
Case:94 : TRUE
Case:95 : TRUE
Case:96 : TRUE
Case:97 : TRUE
Case:98 : TRUE
Case:99 : TRUE
Case:100 : TRUE
Case:101 : TRUE
Case:102 : TRUE
Case:103 : TRUE
Case:104 : TRUE
Case:105 : TRUE
Case:106 : TRUE
Case:107 : TRUE
Case:108 : TRUE
Case:109 : TRUE
Case:110 : TRUE
Case:111 : TRUE
Case:112 : TRUE
Case:113 : TRUE
Case:114 : TRUE
Case:115 : TRUE
Case:116 : TRUE
Case:117 : TRUE
Case:118 : TRUE
Case:119 : TRUE
Case:120 : TRUE
Case:121 : TRUE
Case:122 : TRUE
Case:123 : TRUE
Case:124 : TRUE
Case:125 : TRUE
Case:126 : TRUE
Case:127 : TRUE
Case:128 : TRUE
Case:129 : TRUE
Case:130 : TRUE
Case:131 : TRUE
Case:132 : TRUE
Case:133 : TRUE
Case:134 : TRUE
Case:135 : TRUE
Case:136 : TRUE
Case:137 : TRUE
Case:138 : TRUE
Case:139 : TRUE
Case:140 : TRUE
Case:141 : TRUE
Case:142 : TRUE
Case:143 : TRUE
Case:144 : TRUE
Case:145 : TRUE
Case:146 : TRUE
Case:147 : TRUE
Case:148 : TRUE
Case:149 : TRUE
Case:150 : TRUE
Case:151 : TRUE
Case:152 : TRUE
Case:153 : TRUE
Case:154 : TRUE
Case:155 : TRUE
Case:156 : TRUE
Case:157 : TRUE
Case:158 : TRUE
Case:159 : TRUE
Case:160 : TRUE
Case:161 : TRUE
Case:162 : TRUE
Case:163 : TRUE
Case:164 : TRUE
Case:165 : TRUE
Case:166 : TRUE
Case:167 : TRUE
Case:168 : TRUE
Case:169 : TRUE
Case:170 : TRUE
Case:171 : TRUE
Case:172 : TRUE
Case:173 : TRUE
Case:174 : TRUE
Case:175 : TRUE
Case:176 : TRUE
Case:177 : TRUE
Case:178 : TRUE
Case:179 : TRUE
Case:180 : TRUE
Case:181 : TRUE
Case:182 : TRUE
Case:183 : TRUE
Case:184 : TRUE
Case:185 : TRUE
Case:186 : TRUE
Case:187 : TRUE
Case:188 : TRUE
Case:189 : TRUE
Case:190 : TRUE
Case:191 : TRUE
Case:192 : TRUE
Case:193 : TRUE
Case:194 : TRUE
Case:195 : TRUE
Case:196 : TRUE
Case:197 : TRUE
Case:198 : TRUE
Case:199 : TRUE
Case:200 : TRUE
Case:201 : TRUE
Case:202 : TRUE
Case:203 : TRUE
Case:204 : TRUE
Case:205 : TRUE
Case:206 : TRUE
Case:207 : TRUE
Case:208 : TRUE
Case:209 : TRUE
Case:210 : TRUE
Case:211 : TRUE
Case:212 : TRUE
Case:213 : TRUE
Case:214 : TRUE
Case:215 : TRUE
Case:216 : TRUE
Case:217 : TRUE
Case:218 : TRUE
Case:219 : TRUE
Case:220 : TRUE
Case:221 : TRUE
Case:222 : TRUE
Case:223 : TRUE
Case:224 : TRUE
Case:225 : TRUE
Case:226 : TRUE
Case:227 : TRUE
Case:228 : TRUE
Case:229 : TRUE
Case:230 : TRUE
Case:231 : TRUE
Case:232 : TRUE
Case:233 : TRUE
Case:234 : TRUE
Case:235 : TRUE
Case:236 : TRUE
Case:237 : TRUE
Case:238 : TRUE
Case:239 : TRUE
Case:240 : TRUE
Case:241 : TRUE
Case:242 : TRUE
Case:243 : TRUE
Case:244 : TRUE
Case:245 : TRUE
Case:246 : TRUE
Case:247 : TRUE
Case:248 : TRUE
Case:249 : TRUE
Case:250 : TRUE
Case:251 : TRUE
Case:252 : TRUE
Case:253 : TRUE
Case:254 : TRUE
Case:255 : TRUE
Case:256 : TRUE
Case:257 : TRUE
Case:258 : TRUE
Case:259 : TRUE
Case:260 : TRUE
Case:261 : TRUE
Case:262 : TRUE
Case:263 : TRUE
Case:264 : TRUE
Case:265 : TRUE
Case:266 : TRUE
Case:267 : TRUE
Case:268 : TRUE
Case:269 : TRUE
Case:270 : TRUE
Case:271 : TRUE
Case:272 : TRUE
Case:273 : TRUE
Case:274 : TRUE
Case:275 : TRUE
Case:276 : TRUE
Case:277 : TRUE
Case:278 : TRUE
Case:279 : TRUE
Case:280 : TRUE
Case:281 : TRUE
Case:282 : TRUE
Case:283 : TRUE
Case:284 : TRUE
Case:285 : TRUE
Case:286 : TRUE
Case:287 : TRUE
Case:288 : TRUE
Case:289 : TRUE
Case:290 : TRUE
Case:291 : TRUE
Case:292 : TRUE
Case:293 : TRUE
Case:294 : TRUE
Case:295 : TRUE
Case:296 : TRUE
Case:297 : TRUE
Case:298 : TRUE
Case:299 : TRUE
Case:300 : TRUE
Case:301 : TRUE
Case:302 : TRUE
Case:303 : TRUE
Case:304 : TRUE
Case:305 : TRUE
Case:306 : TRUE
Case:307 : TRUE
Case:308 : TRUE
Case:309 : TRUE
Case:310 : TRUE
Case:311 : TRUE
Case:312 : TRUE
Case:313 : TRUE
Case:314 : TRUE
Case:315 : TRUE
Case:316 : TRUE
Case:317 : TRUE
Case:318 : TRUE
Case:319 : TRUE
Case:320 : TRUE
Case:321 : TRUE
Case:322 : TRUE
Case:323 : TRUE
Case:324 : TRUE
Case:325 : TRUE
Case:326 : TRUE
Case:327 : TRUE
Case:328 : TRUE
Case:329 : TRUE
Case:330 : TRUE
Case:331 : TRUE
Case:332 : TRUE
Case:333 : TRUE
Case:334 : TRUE
Case:335 : TRUE
Case:336 : TRUE
Case:337 : TRUE
Case:338 : TRUE
Case:339 : TRUE
Case:340 : TRUE
Case:341 : TRUE
Case:342 : TRUE
Case:343 : TRUE
Case:344 : TRUE
Case:345 : TRUE
Case:346 : TRUE
Case:347 : TRUE
Case:348 : TRUE
Case:349 : TRUE
Case:350 : TRUE
Case:351 : TRUE
Case:352 : TRUE
Case:353 : TRUE
Case:354 : TRUE
Case:355 : TRUE
Case:356 : TRUE
Case:357 : TRUE
Case:358 : TRUE
Case:359 : TRUE
Case:360 : TRUE
Case:361 : TRUE
Case:362 : TRUE
Case:363 : TRUE
Case:364 : TRUE
Case:365 : TRUE
Case:366 : TRUE
Case:367 : TRUE
Case:368 : TRUE
Case:369 : TRUE
Case:370 : TRUE
Case:371 : TRUE
Case:372 : TRUE
Case:373 : TRUE
Case:374 : TRUE
Case:375 : TRUE
Case:376 : TRUE
Case:377 : TRUE
Case:378 : TRUE
Case:379 : TRUE
Case:380 : TRUE
Case:381 : TRUE
Case:382 : TRUE
Case:383 : TRUE
Case:384 : TRUE
Case:385 : TRUE
Case:386 : TRUE
Case:387 : TRUE
Case:388 : TRUE
Case:389 : TRUE
Case:390 : TRUE
Case:391 : TRUE
Case:392 : TRUE
Case:393 : TRUE
Case:394 : TRUE
Case:395 : TRUE
Case:396 : TRUE
Case:397 : TRUE
Case:398 : TRUE
Case:399 : TRUE
Case:400 : TRUE
Case:401 : TRUE
Case:402 : TRUE
Case:403 : TRUE
Case:404 : TRUE
Case:405 : TRUE
Case:406 : TRUE
Case:407 : TRUE
Case:408 : TRUE
Case:409 : TRUE
Case:410 : TRUE
Case:411 : TRUE
Case:412 : TRUE
Case:413 : TRUE
Case:414 : TRUE
Case:415 : TRUE
Case:416 : TRUE
Case:417 : TRUE
Case:418 : TRUE
Case:419 : TRUE
Case:420 : TRUE
Case:421 : TRUE
Case:422 : TRUE
Case:423 : TRUE
Case:424 : TRUE
Case:425 : TRUE
Case:426 : TRUE
Case:427 : TRUE
Case:428 : TRUE
Case:429 : TRUE
Case:430 : TRUE
Case:431 : TRUE
Case:432 : TRUE
Case:433 : TRUE
Case:434 : TRUE
Case:435 : TRUE
Case:436 : TRUE
Case:437 : TRUE
Case:438 : TRUE
Case:439 : TRUE
Case:440 : TRUE
Case:441 : TRUE
Case:442 : TRUE
Case:443 : TRUE
Case:444 : TRUE
Case:445 : TRUE
Case:446 : TRUE
Case:447 : TRUE
Case:448 : TRUE
Case:449 : TRUE
Case:450 : TRUE
Case:451 : TRUE
Case:452 : TRUE
Case:453 : TRUE
Case:454 : TRUE
Case:455 : TRUE
Case:456 : TRUE
Case:457 : TRUE
Case:458 : TRUE
Case:459 : TRUE
Case:460 : TRUE
Case:461 : TRUE
Case:462 : TRUE
Case:463 : TRUE
Case:464 : TRUE
Case:465 : TRUE
Case:466 : TRUE
Case:467 : TRUE
Case:468 : TRUE
Case:469 : TRUE
Case:470 : TRUE
Case:471 : TRUE
Case:472 : TRUE
Case:473 : TRUE
Case:474 : TRUE
Case:475 : TRUE
Case:476 : TRUE
Case:477 : TRUE
Case:478 : TRUE
Case:479 : TRUE
Case:480 : TRUE
Case:481 : TRUE
Case:482 : TRUE
Case:483 : TRUE
Case:484 : TRUE
Case:485 : TRUE
Case:486 : TRUE
Case:487 : TRUE
Case:488 : TRUE
Case:489 : TRUE
Case:490 : TRUE
Case:491 : TRUE
Case:492 : TRUE
Case:493 : TRUE
Case:494 : TRUE
Case:495 : TRUE
Case:496 : TRUE
Case:497 : TRUE
Case:498 : TRUE
Case:499 : TRUE
Case:500 : TRUE
Case:501 : TRUE
Case:502 : TRUE
Case:503 : TRUE
Case:504 : TRUE
Case:505 : TRUE
Case:506 : TRUE
Case:507 : TRUE
Case:508 : TRUE
Case:509 : TRUE
Case:510 : TRUE
Case:511 : TRUE
Case:512 : TRUE
Case:513 : TRUE
Case:514 : TRUE
Case:515 : TRUE
Case:516 : TRUE
Case:517 : TRUE
Case:518 : TRUE
Case:519 : TRUE
Case:520 : TRUE
Case:521 : TRUE
Case:522 : TRUE
Case:523 : TRUE
Case:524 : TRUE
Case:525 : TRUE
Case:526 : TRUE
Case:527 : TRUE
Case:528 : TRUE
Case:529 : TRUE
Case:530 : TRUE
Case:531 : TRUE
Case:532 : TRUE
Case:533 : TRUE
Case:534 : TRUE
Case:535 : TRUE
Case:536 : TRUE
Case:537 : TRUE
Case:538 : TRUE
Case:539 : TRUE
Case:540 : TRUE
Case:541 : TRUE
Case:542 : TRUE
Case:543 : TRUE
Case:544 : TRUE
Case:545 : TRUE
Case:546 : TRUE
Case:547 : TRUE
Case:548 : TRUE
Case:549 : TRUE
Case:550 : TRUE
Case:551 : TRUE
Case:552 : TRUE
Case:553 : TRUE
Case:554 : TRUE
Case:555 : TRUE
Case:556 : TRUE
Case:557 : TRUE
Case:558 : TRUE
Case:559 : TRUE
Case:560 : TRUE
Case:561 : TRUE
Case:562 : TRUE
Case:563 : TRUE
Case:564 : TRUE
Case:565 : TRUE
Case:566 : TRUE
Case:567 : TRUE
Case:568 : TRUE
Case:569 : TRUE
Case:570 : TRUE
Case:571 : TRUE
Case:572 : TRUE
Case:573 : TRUE
Case:574 : TRUE
Case:575 : TRUE
Case:576 : TRUE
Case:577 : TRUE
Case:578 : TRUE
Case:579 : TRUE
Case:580 : TRUE
Case:581 : TRUE
Case:582 : TRUE
Case:583 : TRUE
Case:584 : TRUE
Case:585 : TRUE
Case:586 : TRUE
Case:587 : TRUE
Case:588 : TRUE
Case:589 : TRUE
Case:590 : TRUE
Case:591 : TRUE
Case:592 : TRUE
Case:593 : TRUE
Case:594 : TRUE
Case:595 : TRUE
Case:596 : TRUE
Case:597 : TRUE
Case:598 : TRUE
Case:599 : TRUE
Case:600 : TRUE
Case:601 : TRUE
Case:602 : TRUE
Case:603 : TRUE
Case:604 : TRUE
Case:605 : TRUE
Case:606 : TRUE
Case:607 : TRUE
Case:608 : TRUE
Case:609 : TRUE
Case:610 : TRUE
Case:611 : TRUE
Case:612 : TRUE
Case:613 : TRUE
Case:614 : TRUE
Case:615 : TRUE
Case:616 : TRUE
Case:617 : TRUE
Case:618 : TRUE
Case:619 : TRUE
Case:620 : TRUE
Case:621 : TRUE
Case:622 : TRUE
Case:623 : TRUE
Case:624 : TRUE
Case:625 : TRUE
Case:626 : TRUE
Case:627 : TRUE
Case:628 : TRUE
Case:629 : TRUE
Case:630 : TRUE
Case:631 : TRUE
Case:632 : TRUE
Case:633 : TRUE
Case:634 : TRUE
Case:635 : TRUE
Case:636 : TRUE
Case:637 : TRUE
Case:638 : TRUE
Case:639 : TRUE
Case:640 : TRUE
Case:641 : TRUE
Case:642 : TRUE
Case:643 : TRUE
Case:644 : TRUE
Case:645 : TRUE
Case:646 : TRUE
Case:647 : TRUE
Case:648 : TRUE
Case:649 : TRUE
Case:650 : TRUE
Case:651 : TRUE
Case:652 : TRUE
Case:653 : TRUE
Case:654 : TRUE
Case:655 : TRUE
Case:656 : TRUE
Case:657 : TRUE
Case:658 : TRUE
Case:659 : TRUE
Case:660 : TRUE
Case:661 : TRUE
Case:662 : TRUE
Case:663 : TRUE
Case:664 : TRUE
Case:665 : TRUE
Case:666 : TRUE
Case:667 : TRUE
Case:668 : TRUE
Case:669 : TRUE
Case:670 : TRUE
Case:671 : TRUE
Case:672 : TRUE
Case:673 : TRUE
Case:674 : TRUE
Case:675 : TRUE
Case:676 : TRUE
Case:677 : TRUE
Case:678 : TRUE
Case:679 : TRUE
Case:680 : TRUE
Case:681 : TRUE
Case:682 : TRUE
Case:683 : TRUE
Case:684 : TRUE
Case:685 : TRUE
Case:686 : TRUE
Case:687 : TRUE
Case:688 : TRUE
Case:689 : TRUE
Case:690 : TRUE
Case:691 : TRUE
Case:692 : TRUE
Case:693 : TRUE
Case:694 : TRUE
Case:695 : TRUE
Case:696 : TRUE
Case:697 : TRUE
Case:698 : TRUE
Case:699 : TRUE
Case:700 : TRUE
Case:701 : TRUE
Case:702 : TRUE
Case:703 : TRUE
Case:704 : TRUE
Case:705 : TRUE
Case:706 : TRUE
Case:707 : TRUE
Case:708 : TRUE
Case:709 : TRUE
Case:710 : TRUE
Case:711 : TRUE
Case:712 : TRUE
Case:713 : TRUE
Case:714 : TRUE
Case:715 : TRUE
Case:716 : TRUE
Case:717 : TRUE
Case:718 : TRUE
Case:719 : TRUE
Case:720 : TRUE
Case:721 : TRUE
Case:722 : TRUE
Case:723 : TRUE
Case:724 : TRUE
Case:725 : TRUE
Case:726 : TRUE
Case:727 : TRUE
Case:728 : TRUE
Case:729 : TRUE
Case:730 : TRUE
Case:731 : TRUE
Case:732 : TRUE
Case:733 : TRUE
Case:734 : TRUE
Case:735 : TRUE
Case:736 : TRUE
Case:737 : TRUE
Case:738 : TRUE
Case:739 : TRUE
Case:740 : TRUE
Case:741 : TRUE
Case:742 : TRUE
Case:743 : TRUE
Case:744 : TRUE
Case:745 : TRUE
Case:746 : TRUE
Case:747 : TRUE
Case:748 : TRUE
Case:749 : TRUE
Case:750 : TRUE
Case:751 : TRUE
Case:752 : TRUE
Case:753 : TRUE
Case:754 : TRUE
Case:755 : TRUE
Case:756 : TRUE
Case:757 : TRUE
Case:758 : TRUE
Case:759 : TRUE
Case:760 : TRUE
Case:761 : TRUE
Case:762 : TRUE
Case:763 : TRUE
Case:764 : TRUE
Case:765 : TRUE
Case:766 : TRUE
Case:767 : TRUE
Case:768 : TRUE
Case:769 : TRUE
Case:770 : TRUE
Case:771 : TRUE
Case:772 : TRUE
Case:773 : TRUE
Case:774 : TRUE
Case:775 : TRUE
Case:776 : TRUE
Case:777 : TRUE
Case:778 : TRUE
Case:779 : TRUE
Case:780 : TRUE
Case:781 : TRUE
Case:782 : TRUE
Case:783 : TRUE
Case:784 : TRUE
Case:785 : TRUE
Case:786 : TRUE
Case:787 : TRUE
Case:788 : TRUE
Case:789 : TRUE
Case:790 : TRUE
Case:791 : TRUE
Case:792 : TRUE
Case:793 : TRUE
Case:794 : TRUE
Case:795 : TRUE
Case:796 : TRUE
Case:797 : TRUE
Case:798 : TRUE
Case:799 : TRUE
Case:800 : TRUE
Case:801 : TRUE
Case:802 : TRUE
Case:803 : TRUE
Case:804 : TRUE
Case:805 : TRUE
Case:806 : TRUE
Case:807 : TRUE
Case:808 : TRUE
Case:809 : TRUE
Case:810 : TRUE
Case:811 : TRUE
Case:812 : TRUE
Case:813 : TRUE
Case:814 : TRUE
Case:815 : TRUE
Case:816 : TRUE
Case:817 : TRUE
Case:818 : TRUE
Case:819 : TRUE
Case:820 : TRUE
Case:821 : TRUE
Case:822 : TRUE
Case:823 : TRUE
Case:824 : TRUE
Case:825 : TRUE
Case:826 : TRUE
Case:827 : TRUE
Case:828 : TRUE
Case:829 : TRUE
Case:830 : TRUE
Case:831 : TRUE
Case:832 : TRUE
Case:833 : TRUE
Case:834 : TRUE
Case:835 : TRUE
Case:836 : TRUE
Case:837 : TRUE
Case:838 : TRUE
Case:839 : TRUE
Case:840 : TRUE
Case:841 : TRUE
Case:842 : TRUE
Case:843 : TRUE
Case:844 : TRUE
Case:845 : TRUE
Case:846 : TRUE
Case:847 : TRUE
Case:848 : TRUE
Case:849 : TRUE
Case:850 : TRUE
Case:851 : TRUE
Case:852 : TRUE
Case:853 : TRUE
Case:854 : TRUE
Case:855 : TRUE
Case:856 : TRUE
Case:857 : TRUE
Case:858 : TRUE
Case:859 : TRUE
Case:860 : TRUE
Case:861 : TRUE
Case:862 : TRUE
Case:863 : TRUE
Case:864 : TRUE
Case:865 : TRUE
Case:866 : TRUE
Case:867 : TRUE
Case:868 : TRUE
Case:869 : TRUE
Case:870 : TRUE
Case:871 : TRUE
Case:872 : TRUE
Case:873 : TRUE
Case:874 : TRUE
Case:875 : TRUE
Case:876 : TRUE
Case:877 : TRUE
Case:878 : TRUE
Case:879 : TRUE
Case:880 : TRUE
Case:881 : TRUE
Case:882 : TRUE
Case:883 : TRUE
Case:884 : TRUE
Case:885 : TRUE
Case:886 : TRUE
Case:887 : TRUE
Case:888 : TRUE
Case:889 : TRUE
Case:890 : TRUE
Case:891 : TRUE
Case:892 : TRUE
Case:893 : TRUE
Case:894 : TRUE
Case:895 : TRUE
Case:896 : TRUE
Case:897 : TRUE
Case:898 : TRUE
Case:899 : TRUE
Case:900 : TRUE
Case:901 : TRUE
Case:902 : TRUE
Case:903 : TRUE
Case:904 : TRUE
Case:905 : TRUE
Case:906 : TRUE
Case:907 : TRUE
Case:908 : TRUE
Case:909 : TRUE
Case:910 : TRUE
Case:911 : TRUE
Case:912 : TRUE
Case:913 : TRUE
Case:914 : TRUE
Case:915 : TRUE
Case:916 : TRUE
Case:917 : TRUE
Case:918 : TRUE
Case:919 : TRUE
Case:920 : TRUE
Case:921 : TRUE
Case:922 : TRUE
Case:923 : TRUE
Case:924 : TRUE
Case:925 : TRUE
Case:926 : TRUE
Case:927 : TRUE
Case:928 : TRUE
Case:929 : TRUE
Case:930 : TRUE
Case:931 : TRUE
Case:932 : TRUE
Case:933 : TRUE
Case:934 : TRUE
Case:935 : TRUE
Case:936 : TRUE
Case:937 : TRUE
Case:938 : TRUE
Case:939 : TRUE
Case:940 : TRUE
Case:941 : TRUE
Case:942 : TRUE
Case:943 : TRUE
Case:944 : TRUE
Case:945 : TRUE
Case:946 : TRUE
Case:947 : TRUE
Case:948 : TRUE
Case:949 : TRUE
Case:950 : TRUE
Case:951 : TRUE
Case:952 : TRUE
Case:953 : TRUE
Case:954 : TRUE
Case:955 : TRUE
Case:956 : TRUE
Case:957 : TRUE
Case:958 : TRUE
Case:959 : TRUE
Case:960 : TRUE
Case:961 : TRUE
Case:962 : TRUE
Case:963 : TRUE
Case:964 : TRUE
Case:965 : TRUE
Case:966 : TRUE
Case:967 : TRUE
Case:968 : TRUE
Case:969 : TRUE
Case:970 : TRUE
Case:971 : TRUE
Case:972 : TRUE
Case:973 : TRUE
Case:974 : TRUE
Case:975 : TRUE
Case:976 : TRUE
Case:977 : TRUE
Case:978 : TRUE
Case:979 : TRUE
Case:980 : TRUE
Case:981 : TRUE
Case:982 : TRUE
Case:983 : TRUE
Case:984 : TRUE
Case:985 : TRUE
Case:986 : TRUE
Case:987 : TRUE
Case:988 : TRUE
Case:989 : TRUE
Case:990 : TRUE
Case:991 : TRUE
Case:992 : TRUE
Case:993 : TRUE
Case:994 : TRUE
Case:995 : TRUE
Case:996 : TRUE
Case:997 : TRUE
Case:998 : TRUE
Case:999 : TRUE
Case:1000 : TRUE
Case:1001 : TRUE
Case:1002 : TRUE
Case:1003 : TRUE
Case:1004 : TRUE
Case:1005 : TRUE
Case:1006 : TRUE
Case:1007 : TRUE
Case:1008 : TRUE
Case:1009 : TRUE
Case:1010 : TRUE
Case:1011 : TRUE
Case:1012 : TRUE
Case:1013 : TRUE
Case:1014 : TRUE
Case:1015 : TRUE
Case:1016 : TRUE
Case:1017 : TRUE
Case:1018 : TRUE
Case:1019 : TRUE
Case:1020 : TRUE
Case:1021 : TRUE
Case:1022 : TRUE
Case:1023 : TRUE
Case:1024 : TRUE
Case:1025 : TRUE
Case:1026 : TRUE
Case:1027 : TRUE
Case:1028 : TRUE
Case:1029 : TRUE
Case:1030 : TRUE
Case:1031 : TRUE
Case:1032 : TRUE
Case:1033 : TRUE
Case:1034 : TRUE
Case:1035 : TRUE
Case:1036 : TRUE
Case:1037 : TRUE
Case:1038 : TRUE
Case:1039 : TRUE
Case:1040 : TRUE
Case:1041 : TRUE
Case:1042 : TRUE
Case:1043 : TRUE
Case:1044 : TRUE
Case:1045 : TRUE
Case:1046 : TRUE
Case:1047 : TRUE
Case:1048 : TRUE
Case:1049 : TRUE
Case:1050 : TRUE
Case:1051 : TRUE
Case:1052 : TRUE
Case:1053 : TRUE
Case:1054 : TRUE
Case:1055 : TRUE
Case:1056 : TRUE
Case:1057 : TRUE
Case:1058 : TRUE
Case:1059 : TRUE
Case:1060 : TRUE
Case:1061 : TRUE
Case:1062 : TRUE
Case:1063 : TRUE
Case:1064 : TRUE
Case:1065 : TRUE
Case:1066 : TRUE
Case:1067 : TRUE
Case:1068 : TRUE
Case:1069 : TRUE
Case:1070 : TRUE
Case:1071 : TRUE
Case:1072 : TRUE
Case:1073 : TRUE
Case:1074 : TRUE
Case:1075 : TRUE
Case:1076 : TRUE
Case:1077 : TRUE
Case:1078 : TRUE
Case:1079 : TRUE
Case:1080 : TRUE
Case:1081 : TRUE
Case:1082 : TRUE
Case:1083 : TRUE
Case:1084 : TRUE
Case:1085 : TRUE
Case:1086 : TRUE
Case:1087 : TRUE
Case:1088 : TRUE
Case:1089 : TRUE
Case:1090 : TRUE
Case:1091 : TRUE
Case:1092 : TRUE
Case:1093 : TRUE
Case:1094 : TRUE
Case:1095 : TRUE
Case:1096 : TRUE
Case:1097 : TRUE
Case:1098 : TRUE
Case:1099 : TRUE
Case:1100 : TRUE
Case:1101 : TRUE
Case:1102 : TRUE
Case:1103 : TRUE
Case:1104 : TRUE
Case:1105 : TRUE
Case:1106 : TRUE
Case:1107 : TRUE
Case:1108 : TRUE
Case:1109 : TRUE
Case:1110 : TRUE
Case:1111 : TRUE
Case:1112 : TRUE
Case:1113 : TRUE
Case:1114 : TRUE
Case:1115 : TRUE
Case:1116 : TRUE
Case:1117 : TRUE
Case:1118 : TRUE
Case:1119 : TRUE
Case:1120 : TRUE
Case:1121 : TRUE
Case:1122 : TRUE
Case:1123 : TRUE
Case:1124 : TRUE
Case:1125 : TRUE
Case:1126 : TRUE
Case:1127 : TRUE
Case:1128 : TRUE
Case:1129 : TRUE
Case:1130 : TRUE
Case:1131 : TRUE
Case:1132 : TRUE
Case:1133 : TRUE
Case:1134 : TRUE
Case:1135 : TRUE
Case:1136 : TRUE
Case:1137 : TRUE
Case:1138 : TRUE
Case:1139 : TRUE
Case:1140 : TRUE
Case:1141 : TRUE
Case:1142 : TRUE
Case:1143 : TRUE
Case:1144 : TRUE
Case:1145 : TRUE
Case:1146 : TRUE
Case:1147 : TRUE
Case:1148 : TRUE
Case:1149 : TRUE
Case:1150 : TRUE
Case:1151 : TRUE
Case:1152 : TRUE
Case:1153 : TRUE
Case:1154 : TRUE
Case:1155 : TRUE
Case:1156 : TRUE
Case:1157 : TRUE
Case:1158 : TRUE
Case:1159 : TRUE
Case:1160 : TRUE
Case:1161 : TRUE
Case:1162 : TRUE
Case:1163 : TRUE
Case:1164 : TRUE
Case:1165 : TRUE
Case:1166 : TRUE
Case:1167 : TRUE
Case:1168 : TRUE
Case:1169 : TRUE
Case:1170 : TRUE
Case:1171 : TRUE
Case:1172 : TRUE
Case:1173 : TRUE
Case:1174 : TRUE
Case:1175 : TRUE
Case:1176 : TRUE
Case:1177 : TRUE
Case:1178 : TRUE
Case:1179 : TRUE
Case:1180 : TRUE
Case:1181 : TRUE
Case:1182 : TRUE
Case:1183 : TRUE
Case:1184 : TRUE
Case:1185 : TRUE
Case:1186 : TRUE
Case:1187 : TRUE
Case:1188 : TRUE
Case:1189 : TRUE
Case:1190 : TRUE
Case:1191 : TRUE
Case:1192 : TRUE
Case:1193 : TRUE
Case:1194 : TRUE
Case:1195 : TRUE
Case:1196 : TRUE
Case:1197 : TRUE
Case:1198 : TRUE
Case:1199 : TRUE
Case:1200 : TRUE
Case:1201 : TRUE
Case:1202 : TRUE
Case:1203 : TRUE
Case:1204 : TRUE
Case:1205 : TRUE
